AuthorsID,PublicationID,ArticleName,Volume,Issue
21,193,Blockchain Technology in Supply Chain Management,12,14
61,190,Artificial Intelligence in Finance Sector,5,6
29,169,The Role of Machine Learning in Recommender Systems: A Review and Analysis,9,24
71,147,Cyber Security Threats and Solutions,1,1
93,194,Image Processing Techniques for Medical Imaging,9,24
71,187,Cybersecurity in Critical Infrastructure: Threats and Countermeasures,4,18
71,117,The Role of Artificial Intelligence in Cybersecurity: Opportunities and Challenges,2,1
29,192,The Impact of Machine Learning on Business Intelligence: Trends and Future Directions,9,9
29,177,Machine Learning Algorithms for Predictive Analytics,9,23
63,118,A Comprehensive Review of Cloud Computing Technologies and Trends,4,1
63,102,Cloud Computing and Big Data: Enabling New Insights and Innovations,12,25
61,163,Ethical Considerations in Artificial Intelligence: A Comprehensive Overview,1,11
21,198,Blockchain in Energy: State-of-the-Art and Future Perspectives,3,18
17,165,IoT Applications in Healthcare,2,22
71,195,Cybersecurity in Smart Cities: State-of-the-Art and Future Perspectives,10,1
